route_id,city,country,origin,destination,method_type,method_name,currency,price_min_local,price_max_local,price_min_vnd,price_max_vnd,duration_min,duration_max,comfort_1_5,luggage_ok,operates_from,operates_to,how_to_buy,app_needed,language_difficulty_1_5,scam_risk_note,source_url,last_updated,price_basis
BKK-01,Bangkok,Thailand,Suvarnabhumi Airport (BKK),Sukhumvit / Asok,train,Airport Rail Link (City Line),THB,45,45,35100,35100,30,40,3,tight,06:00,24:00,"Follow signs to Level B. Buy token at machine or counter, cash THB only. Ride to Phaya Thai, transfer to BTS.",none,2,None on the train itself. Taxi touts wait at arrivals — ignore them.,https://suvarnabhumi.airportthai.co.th/service/transportation/detail/304 ; https://bkkairportlink.com/fare,2026-08-24,per_person
BKK-02,Bangkok,Thailand,Suvarnabhumi Airport (BKK),Khao San Road,bus,Bus S1,THB,60,60,46800,46800,60,90,1,tight,06:00,20:00,"Tang 1, canh Gate 7. Len xe roi tra tien mat cho phu xe, gia dong 60 THB bat ke xuong o dau. Khong mua truoc duoc. Tranh dua to 500/1000 THB.",none,2,"Gia dong, khong the bi chat chem. Rui ro chinh la lo chuyen cuoi luc 20:00.",https://suvarnabhumi.airportthai.co.th/service/transportation/detail/317,2026-08-24,per_person
BKK-03,Bangkok,Thailand,Suvarnabhumi Airport (BKK),Sukhumvit / Asok,taxi,Metered taxi (public rank),THB,400,600,312000,468000,45,60,4,yes,00:00,24:00,"Tang 1, quay taxi cong cong giua Gate 4-7. Lay phieu o may tu dong, KHONG di theo nguoi moi chao. Yeu cau bat dong ho.",none,4,"Phu phi san bay 50 THB la HOP LE (theo thong bao Bo GTVT), khong phai chat chem. Phi cao toc ~70 THB khach tu tra tien mat. Chieu 'dong ho hong, di gia tron goi' la lua dao.",https://suvarnabhumi.airportthai.co.th/service/transportation/detail/304,2026-08-24,per_vehicle
BKK-04,Bangkok,Thailand,Suvarnabhumi Airport (BKK),Sukhumvit / Asok,ride_hail,Grab,THB,450,700,351000,546000,45,60,4,yes,00:00,24:00,"Cai app Grab truoc khi bay, dung tai khoan Viet Nam duoc. Ra diem don Grab rieng cua san bay theo bien chi dan, khong ra quay taxi. Gia hien san trong app truoc khi dat.",Grab,1,"Gia chot trong app, khong mac ca. Nhung 01:00-04:00 rat kho goi duoc tai xe. Gia dong theo nhu cau nen co the cao hon taxi dong ho vao gio cao diem.",https://www.faditaxi.com/airport/suvarnabhumi-airport-taxi ; https://www.thaizer.com/how-to-catch-a-taxi-from-bangkok-airport/,2026-08-24,per_vehicle
BKK-05,Bangkok,Thailand,Suvarnabhumi Airport (BKK),Sukhumvit / Asok,private_car,Pre-booked private transfer,THB,800,1200,624000,936000,45,60,5,yes,00:00,24:00,"Dat truoc online (Klook, Trip.com hoac cong ty transfer) truoc ngay bay. Tai xe cam bien ten don tai sanh den. Gia chot truoc, khong phat sinh phi cao toc.",none,1,"Gia co dinh, khong co rui ro chat chem. Doi lai la dat nhat. Dang tien khi di nhom 3-4 nguoi hoac ha canh ban dem.",https://www.thaizer.com/how-to-catch-a-taxi-from-bangkok-airport/,2026-08-24,per_vehicle
DMK-01,Bangkok,Thailand,Don Mueang Airport (DMK),Mo Chit BTS,bus,Bus A1,THB,30,30,23400,23400,23,45,2,tight,05:45,24:00,"Ra Cua so 6, sanh den Terminal 1, tim bien 'BMTA Bus'. Len xe roi tra tien mat truc tiep cho phu xe, gia dong 30 THB bat ke xuong dau. Chuan bi tien le, tranh dua to.",none,3,"Gia dong nen khong the bi chat chem. Cho de hanh ly tren xe han che, gio cao diem co the phai dung suot chang.",https://donmueang.airportthai.co.th/service/transportation/detail/205 ; https://www.thaizer.com/airport-bus-service-to-and-from-bangkok-don-muang/,2026-08-24,per_person
DMK-02,Bangkok,Thailand,Don Mueang Airport (DMK),Bang Sue Grand Station,train,SRT Red Line,THB,33,33,25740,25740,17,20,3,tight,05:30,24:00,"Co skywalk noi thang tu san bay sang ga. Mua token o may tu dong hoac quay co nhan vien, CHI nhan tien mat THB. Quet token o cua soat ve. Ve SRT khong dung duoc cho MRT/BTS - phai mua ve rieng neu di tiep.",none,2,"Gia niem yet, khong co rui ro. Luu y: den Bang Sue van phai doi sang MRT moi vao trung tam.",https://www.renown-travel.com/daytripsbangkok/srtredline.html ; https://thaiest.com/thailand/bangkok/srt-red-line,2026-08-24,per_person
DMK-03,Bangkok,Thailand,Don Mueang Airport (DMK),Khao San Road,taxi,Metered taxi (public rank),THB,400,500,312000,390000,20,30,4,yes,00:00,24:00,"Quay taxi o Terminal 1 quoc te tang 1 canh Gate 8, hoac Terminal 2 noi dia canh Gate 15. Lay phieu tai quay, khong di theo nguoi moi chao. Yeu cau bat dong ho.",none,4,"Phu phi san bay 50 THB cong vao dong ho la HOP LE theo thong bao Bo GTVT Thai Lan, khong phai chat chem. Phi duong cao toc khach tu tra tien mat tai tram.",https://donmueang.airportthai.co.th/service/transportation/detail/211,2026-08-24,per_vehicle
ICN-01,Seoul,South Korea,Incheon Airport T1 (ICN),Seoul Station,train,AREX Express Train,KRW,11500,13000,218500,247000,43,51,4,yes,05:15,22:40,"Mua ở quầy Express Train hoặc máy tự động tại ga sân bay. Máy thường từ chối thẻ nước ngoài — nếu vậy ra quầy thanh toán bằng thẻ. Vé có ghế ngồi cố định, có khoang để vali riêng.",none,2,"Gia niem yet 13.000 KRW tai quay, khoang 11.500 KRW neu mua online truoc. Ve Express dung he thong soat ve rieng - KHONG chuyen tuyen mien phi sang tau thuong. Lo chuyen phai ra quay doi ve va tra phi phat 3.500 KRW.",https://www.theseoulguide.com/airport-railroad-arex-express-train/,2026-08-24,per_person
ICN-02,Seoul,South Korea,Incheon Airport T1 (ICN),Hongdae,train,AREX All-Stop Train,KRW,4150,4150,78850,78850,59,66,2,tight,05:20,23:38,"Mua token o may tu dong tai ga, hoac quet the T-money. Nen mua the T-money o cua hang tien loi trong san bay truoc - the ngan hang nuoc ngoai khong quet truc tiep duoc o cua soat ve.",none,2,"Gia theo cu ly, toi da khoang 5.350 KRW. Uu diem it ai biet: tau nay dung thang o ga Hongik University, con Express chay qua khong dung - neu o Hongdae thi tau re hon lai tien hon.",https://creatrip.com/en/blog/1696,2026-08-24,per_person
